card_id,target
C_ID_0ab67a22ab,-2.815285773
C_ID_130fd0cbdd,-0.235867262
C_ID_b709037bc5,-1.06476611
C_ID_d27d835a9f,-0.12204788
C_ID_2b5e3df5c2,-1.212995108
C_ID_5814b4f13c,0.041912092
C_ID_a1b3c75277,0.160223024
C_ID_f7cada36d3,0.54999831
C_ID_9d2bc8dfc4,-0.713663982
C_ID_6d8dba8475,-0.859058922
C_ID_4859ac9ed5,-0.700449571
C_ID_0e281e8ad6,-0.047224869
C_ID_8375dfdaa2,0.107431039
C_ID_79d149c008,-0.178527163
C_ID_7f1041e8e1,-5.051548707
C_ID_f72513589e,0.784179211
C_ID_a7f2d6984e,0.458217416
C_ID_15489b42d3,-0.009110435
C_ID_e457bbd71d,0.111568612
C_ID_3f74e10c7e,-0.228252028
C_ID_48243da9c4,0.151798971
C_ID_7ea1fcf117,-0.807898743
C_ID_22e4a47c72,-0.899950741
C_ID_5d30729184,0.083785973
C_ID_b54cfad8b2,-0.697995663
C_ID_4b82e26faa,0.260879746
C_ID_60a453531a,-0.845489403
C_ID_0c9315feec,-0.509423044
C_ID_1e28804d36,-0.130493893
C_ID_68de79f7e2,-0.410600586
C_ID_78dedf0d70,-0.155117379
C_ID_83e740197f,1.00658982
C_ID_e6340286bd,-0.235623921
C_ID_5005a6ad0e,0.76927978
C_ID_b00860b6a5,0.007149969
C_ID_c595ba6d92,-0.531987609
C_ID_09ad76147d,1.042549835
C_ID_041f478878,-0.620507918
C_ID_8eaa79db4f,-4.149273037
C_ID_74ff4fdd9d,0.608233796
C_ID_2558bddd83,-0.479470999
C_ID_5077e2007a,-0.498295855
C_ID_66715f7d2b,0.61425104
C_ID_f27972fa70,-0.148084627
C_ID_8f62bd5ac0,-0.072376671
C_ID_40a2412bae,-0.872220785
C_ID_57940f34ad,-0.262333187
C_ID_8f9dc072c4,1.373026351
C_ID_11ca664f8c,-0.333996028
C_ID_50ad1cb064,-0.498570278
C_ID_e9771fd0b3,1.064849994
C_ID_df2ae73120,-0.139154752
C_ID_fddf997091,-1.190051152
C_ID_8202301cc0,0.244783864
C_ID_4828164a6e,1.297422133
C_ID_4154bc963b,-0.171006279
C_ID_0f68113888,-1.589906549
C_ID_f9c5ec1112,-0.508787942
C_ID_59406e1778,0.432389606
C_ID_9119618513,-0.799809505
C_ID_c37f1dacc3,-0.163568708
C_ID_06a7a6f70d,-0.153246683
C_ID_4ef8177b42,0.977133238
C_ID_f7453d5126,0.098401508
C_ID_038b1f5193,-0.360997252
C_ID_7b3f35325f,-0.376335956
C_ID_e3315cf124,0.020188467
C_ID_5a3419552f,-1.161955209
C_ID_17cb2f55f2,1.166992306
C_ID_bfbffbec95,-0.303857652
C_ID_812e419644,-0.376520213
C_ID_ac88d17815,0.446971772
C_ID_562a791678,-1.553789951
C_ID_a2e5f3b899,-0.156021984
C_ID_5a66e302ea,0.236276534
C_ID_215dd2acfd,-0.10818938
C_ID_ef5198fe59,-0.401233303
C_ID_751e3800a5,-0.464877377
C_ID_fa6b4db855,-0.401045959
C_ID_771d1cb4c1,0.262048426
C_ID_338bed6617,0.266659553
C_ID_d580357116,0.496935922
C_ID_ba0303353c,0.057532554
C_ID_348cbde97c,0.158737331
C_ID_1120541741,-0.493783135
C_ID_b320fc81e5,-0.15858988
C_ID_89c020292e,0.946760461
C_ID_e1dbc78eda,-0.934639967
C_ID_a266b0afb1,0.261408603
C_ID_690962095c,-0.260898356
C_ID_b75c4e1c94,-0.136457377
C_ID_df503a36ae,1.103238475
C_ID_00b966c727,-0.164639175
C_ID_af9e0d2367,0.676190976
C_ID_a9935875b9,0.270670773
C_ID_5078eaf301,-0.626195263
C_ID_69800fbc34,-0.170029209
C_ID_2b8decb6a3,-0.467070963
C_ID_2326cc45b0,-0.934767184
C_ID_a693c8ab8c,-0.424960285
C_ID_931670b20c,0.403214238
C_ID_f9acbb44b5,-0.724388804
C_ID_403d457c52,0.152076021
C_ID_d5467ab0b6,-0.364766399
C_ID_ca39dff1d6,-0.726027576
C_ID_2a122c5394,-0.143282348
C_ID_38a83f816f,-1.41181883
C_ID_aed043274d,-3.176015387
