features,rank
new_purchase_date_diff,1
hist_category_1_mean,1
new_purchase_amount_max,1
new_purchase_amount_mean,1
hist_purchase_date_uptonow,1
hist_purchase_amount_mean,1
hist_authorized_flag_mean,1
hist_month_diff_mean,1
new_purchase_date_uptomin,1
hist_installments_sum,1
new_purchase_date_uptonow,1
hist_first_buy,1
new_month_lag_mean,2
new_purchase_date_average,3
hist_month_nunique,4
hist_purchase_date_diff,5
hist_month_lag_mean,6
hist_purchase_date_average,7
hist_installments_mean,8
hist_purchase_date_uptomin,9
hist_purchase_amount_max,10
hist_month_diff_var,11
hist_month_diff_max,12
new_purchase_amount_sum,13
new_first_buy,14
hist_month_diff_min,15
hist_merchant_category_id_nunique,16
hist_weekofyear_nunique,17
new_category_1_mean,17
hist_month_lag_var,19
hist_purchase_amount_min,20
new_purchase_amount_min,21
hist_purchase_amount_sum,22
new_month_diff_mean,23
hist_weekend_mean,24
new_month_lag_var,25
purchase_amount_total,26
new_merchant_category_id_nunique,27
card_id_total,28
hist_subsector_id_nunique,29
new_installments_mean,30
feature_1,31
hist_hour_nunique,31
new_installments_sum,33
hist_installments_max,33
new_subsector_id_nunique,35
new_installments_max,36
hist_month_lag_min,37
new_weekofyear_nunique,38
new_weekend_mean,39
new_hour_nunique,40
new_month_diff_var,41
hist_month_lag_max,42
new_month_lag_max,42
feature_2,44
quarter,45
new_month_lag_min,46
feature_3,47
